NOME,EMAIL,CPF,TELEFONE,GRUPO
Marina Souza,da-motalucas@bol.com.br,097.134.625-99,(081) 8248 2061,DOCENTE
Luna Lopes,eduardomendes@porto.net,845.217.093-97,(031) 5487-7262,RESPONSAVEL
Isabel Rezende,marinamonteiro@sales.br,108.679.425-76,(031) 5487-7862,DOCENTE
Carlos Eduardo Silva,freitasalice@jesus.com,351.798.024-23,0800 515 0113,RESPONSAVEL
Davi Luiz Ribeiro,rochaana-laura@ig.com.br,127.059.836-86,(031) 5487-7264,ESTUDANTE
Pietro da Mata,diasguilherme@pinto.com,798.264.035-47,31 1922 0676,DOCENTE
Rodrigo Costela,mouramaria-cecilia@duarte.net,609.321.475-34,(011) 3419-5832,DOCENTE
Luiz Fernando Castro,joao-vitor73@hotmail.com,460.329.751-34,(031) 5457-7162,DOCENTE
Bruno Barros,lucca62@uol.com.br,728.105.349-50,(031) 5587-3262,RESPONSAVEL
Dra. Laura Teixeira,joao95@hotmail.com,583.297.064-00,(031) 9921 6179,ESTUDANTE
Matheus Oliveira,isales@ig.com.br,591.480.236-98,(031) 9321 6171,DOCENTE
Pedro da Cruz,ggoncalves@castro.org,492.103.875-97,61 5478-4219,RESPONSAVEL
Luna Almeida,pedro-henriquegomes@bol.com.br,375.804.192-97,(031) 9121 6279,ESTUDANTE
Letícia Teixeira,beatriz95@bol.com.br,756.894.013-66,0900-396-9114,RESPONSAVEL
Mirella Rocha,lorenafernandes@goncalves.com,287.109.543-41,0800-396-9114,ESTUDANTE
Luiza Castro,levi85@nogueira.net,038.792.514-79,84 2519 1894,DOCENTE
Marcos Vinicius da Luz,davi-lucca87@pereira.com,138.657.209-86,84 6914-1865,DOCENTE
João Miguel Araújo,isadoraoliveira@melo.br,396.784.520-65,0900-336-9114,ESTUDANTE
Sra. Mirella Barbosa,nnovaes@alves.com,694.082.571-11,(084) 3432 2477,DOCENTE
Luiz Otávio da Paz,amanda52@da.br,794.356.108-20,(021) 6638-7053,RESPONSAVEL
